# Cyber Attack / Search & Destroy per-map bomb data, harvested from UberMod v8 map scripts.
# Consumed by docs/tools/gen_cybersnd_maps.py. Do NOT hand-edit; re-harvest from source.
# map	m1l1	modes	cyb snd
m1l3a	cyb	set	round_starttime = 8
m1l3a	cyb	set	rounds_towin = 6
m1l3a	cyb	set	changesides = 0
m1l3a	cyb	set	keepsamesides = 1
m1l3a	cyb	set	bombcamera = 1
m1l3a	cyb	bombsite	( 3735 -257 310 ) -99 axis
m1l3a	cyb	bombsite	( 2203 -5937 -106 ) 180 allies
m1l3a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -389 -2574 145 ) 164
m1l3a	snd	set	round_starttime = 8
m1l3a	snd	set	rounds_towin = 6
m1l3a	snd	set	changesides = 0
m1l3a	snd	set	bombcamera = 1
m1l3a	snd	bombsite	( -2459 -3254 20 ) 180
m1l3a	snd	bombsite	( 294 -2708 60 ) 90
m1l3a	snd	bomb	( 2594 -5684 -124 ) 180 ( 3264 -945 207 ) 180 ( 0 0 0 ) 0
# map	m1l3b	modes	cyb snd
m1l3b	cyb	set	round_starttime = 8
m1l3b	cyb	set	rounds_towin = 6
m1l3b	cyb	set	changesides = 0
m1l3b	cyb	set	keepsamesides = 1
m1l3b	cyb	set	bombcamera = 1
m1l3b	cyb	bombsite	( -2492 7021 86 ) 0 axis
m1l3b	cyb	bombsite	( -2979 -32 -23 ) 0 allies
m1l3b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -582 2750 -23 ) 0
m1l3b	snd	set	round_starttime = 8
m1l3b	snd	set	rounds_towin = 6
m1l3b	snd	set	changesides = 0
m1l3b	snd	set	bombcamera = 1
m1l3b	snd	bombsite	( -4895 1763 -23 ) -90
m1l3b	snd	bombsite	( 1056 2268 -23 ) 90
m1l3b	snd	bomb	( -1520 -292 41 ) 180 ( -1989 6692 -25 ) 0 ( 0 0 0 ) 0
# map	m1l3c	modes	cyb snd
m1l3c	cyb	set	round_starttime = 8
m1l3c	cyb	set	rounds_towin = 6
m1l3c	cyb	set	changesides = 0
m1l3c	cyb	set	keepsamesides = 1
m1l3c	cyb	set	bombcamera = 1
m1l3c	cyb	bombsite	( 532 -1831 324 ) 180 axis
m1l3c	cyb	bombsite	( -5715 -5565 240 ) 90 allies
m1l3c	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -5206 -1570 113 ) -102
m1l3c	snd	set	round_starttime = 8
m1l3c	snd	set	rounds_towin = 6
m1l3c	snd	set	changesides = 0
m1l3c	snd	set	bombcamera = 1
m1l3c	snd	bombsite	( 532 -1831 324 ) 180
m1l3c	snd	bombsite	( 207 -1894 1104 ) 33
m1l3c	snd	set	cameradistance = 80
m1l3c	snd	bombsite	( -5725 -5565 240 ) 90
m1l3c	snd	bombsite	( -5484 -4720 716 ) 0
m1l3c	snd	set	cameradistance = 200
m1l3c	snd	bomb	( -5781 -5386 728 ) 180 ( 77 -1939 324 ) -158 ( 0 0 0 ) 0
m1l3c	snd	set	bombsites = 0
m1l3c	snd	bombsite	( 532 -1831 324 ) 180
m1l3c	snd	bombsite	( 207 -1894 1104 ) 33
m1l3c	snd	set	cameradistance = 80
m1l3c	snd	bombsite	( -5725 -5565 240 ) 90
m1l3c	snd	bombsite	( -5484 -4720 716 ) 0
m1l3c	snd	set	cameradistance = 200
# map	m2l1	modes	cyb snd
m2l1	cyb	set	round_starttime = 8
m2l1	cyb	set	rounds_towin = 6
m2l1	cyb	set	changesides = 0
m2l1	cyb	set	keepsamesides = 1
m2l1	cyb	set	bombcamera = 1
m2l1	cyb	bombsite	( 4195 5740 -48 ) 180 axis
m2l1	cyb	bombsite	( -1407 -3763 474 ) 90 allies
m2l1	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 1820 920 448 ) -90
m2l1	snd	set	round_starttime = 8
m2l1	snd	set	rounds_towin = 6
m2l1	snd	set	changesides = 0
m2l1	snd	set	bombcamera = 1
m2l1	snd	bombsite	( 1556 7363 -31 ) -90
m2l1	snd	bombsite	( 3299 1118 474 ) 180
m2l1	snd	bombsite	( -2454 -2732 452 ) 0
m2l1	snd	bombsite	( 737 622 489 ) 90
m2l1	snd	bomb	( -2342 -2934 488 ) 90 ( 3389 6515 -63 ) 180 ( 0 0 0 ) 0
m2l1	snd	bombsite	( 1556 7363 -31 ) -90
m2l1	snd	bombsite	( 3299 1118 474 ) 180
m2l1	snd	bombsite	( -2454 -2732 452 ) 0
m2l1	snd	bombsite	( 737 622 489 ) 90
# map	m2l2a	modes	cyb snd
m2l2a	cyb	set	round_starttime = 8
m2l2a	cyb	set	rounds_towin = 6
m2l2a	cyb	set	changesides = 0
m2l2a	cyb	set	keepsamesides = 1
m2l2a	cyb	set	bombcamera = 1
m2l2a	cyb	set	cameradistance = 100
m2l2a	cyb	bombsite	( -2307 -4070 -449 ) 90 axis
m2l2a	cyb	bombsite	( -4232 -4015 -47 ) 0 allies
m2l2a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -4180 -4394 -447 ) 29
m2l2a	snd	set	round_starttime = 8
m2l2a	snd	set	rounds_towin = 6
m2l2a	snd	set	changesides = 0
m2l2a	snd	set	bombcamera = 1
m2l2a	snd	bombsite	( -3648 -7108 -319 ) 90
m2l2a	snd	bombsite	( -2307 -4070 -449 ) 90
m2l2a	snd	set	cameradistance = 100
m2l2a	snd	bombsite	( -4204 -1467 -183 ) -90
m2l2a	snd	bombsite	( -4232 -4015 -47 ) 0
m2l2a	snd	set	cameradistance = 200
m2l2a	snd	bomb	( -4166 -2167 -463 ) 0 ( -1158 -6473 -447 ) 0 ( 0 0 0 ) 0
m2l2a	snd	bombsite	( -3648 -7108 -319 ) 90
m2l2a	snd	bombsite	( -2307 -4070 -449 ) 90
m2l2a	snd	set	cameradistance = 100
m2l2a	snd	bombsite	( -4204 -1467 -183 ) -90
m2l2a	snd	bombsite	( -4232 -4015 -47 ) 0
m2l2a	snd	set	cameradistance = 200
# map	m2l2b	modes	cyb snd
m2l2b	cyb	set	round_starttime = 8
m2l2b	cyb	set	rounds_towin = 6
m2l2b	cyb	set	changesides = 0
m2l2b	cyb	set	keepsamesides = 1
m2l2b	cyb	set	bombcamera = 1
m2l2b	cyb	bombsite	( -604 -6995 -511 ) 90 axis
m2l2b	cyb	bombsite	( 6175 -6774 0 ) 90 allies
m2l2b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -2705 -5209 -511 ) 0
m2l2b	snd	set	round_starttime = 8
m2l2b	snd	set	rounds_towin = 6
m2l2b	snd	set	changesides = 0
m2l2b	snd	set	bombcamera = 1
m2l2b	snd	bombsite	( -604 -6995 -511 ) 90
m2l2b	snd	bombsite	( -2689 -6668 -511 ) 0
m2l2b	snd	bombsite	( -2307 -4070 -449 ) 90
m2l2b	snd	bombsite	( 6175 -6774 0 ) 90
m2l2b	snd	bomb	( 5156 -6825 1 ) 0 ( -702 -6452 -511 ) 0 ( 0 0 0 ) 0
m2l2b	snd	bombsite	( -604 -6995 -511 ) 90
m2l2b	snd	bombsite	( -2689 -6668 -511 ) 0
m2l2b	snd	bombsite	( -2307 -4070 -449 ) 90
m2l2b	snd	bombsite	( 6175 -6774 0 ) 90
# map	m2l2c	modes	cyb snd
m2l2c	cyb	set	round_starttime = 8
m2l2c	cyb	set	rounds_towin = 6
m2l2c	cyb	set	changesides = 0
m2l2c	cyb	set	keepsamesides = 1
m2l2c	cyb	set	bombcamera = 1
m2l2c	cyb	bombsite	( 3496 -2844 -511 ) -90 axis
m2l2c	cyb	bombsite	( -1475 -6861 -511 ) 0 allies
m2l2c	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 862 -6450 -511 ) 90
m2l2c	snd	set	round_starttime = 8
m2l2c	snd	set	rounds_towin = 6
m2l2c	snd	set	changesides = 0
m2l2c	snd	set	bombcamera = 1
m2l2c	snd	bombsite	( 3613 -3548 -303 ) -90
m2l2c	snd	bombsite	( 2755 -3534 -449 ) 90
m2l2c	snd	bombsite	( -1475 -6861 -511 ) 0
m2l2c	snd	bombsite	( 252 -4070 -449 ) 90
m2l2c	snd	bomb	( -1265 -6475 -447 ) 90 ( 3347 -3065 -511 ) -90 ( 0 0 0 ) 0
m2l2c	snd	bombsite	( 3613 -3548 -303 ) -90
m2l2c	snd	bombsite	( 2755 -3534 -449 ) 90
m2l2c	snd	bombsite	( -1475 -6861 -511 ) 0
m2l2c	snd	bombsite	( 252 -4070 -449 ) 90
# map	m2l3	modes	cyb snd
m2l3	cyb	set	round_starttime = 8
m2l3	cyb	set	rounds_towin = 6
m2l3	cyb	set	changesides = 0
m2l3	cyb	set	keepsamesides = 1
m2l3	cyb	set	bombcamera = 1
m2l3	cyb	bombsite	( -2644 -1342 -447 ) 0 axis
m2l3	cyb	bombsite	( -940 5149 -255 ) 90 allies
m2l3	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -385 3595 -511 ) 90
m2l3	snd	set	round_starttime = 8
m2l3	snd	set	rounds_towin = 6
m2l3	snd	set	changesides = 0
m2l3	snd	set	bombcamera = 1
m2l3	snd	bombsite	( 542 -1603 -511 ) 180
m2l3	snd	bombsite	( 539 1260 -504 ) 180
m2l3	snd	bombsite	( -1453 7011 -255 ) -90
m2l3	snd	bombsite	( 1068 5597 -255 ) 90
m2l3	snd	bomb	( -247 5950 -255 ) -90 ( -495 -143 -511 ) 90 ( 0 0 0 ) 0
m2l3	snd	bombsite	( 542 -1603 -511 ) 180
m2l3	snd	bombsite	( 539 1260 -504 ) 180
m2l3	snd	bombsite	( -1453 7011 -255 ) -90
m2l3	snd	bombsite	( 1068 5597 -255 ) 90
# map	m3l1a	modes	cyb snd
m3l1a	cyb	set	round_starttime = 8
m3l1a	cyb	set	rounds_towin = 6
m3l1a	cyb	set	changesides = 0
m3l1a	cyb	set	keepsamesides = 1
m3l1a	cyb	set	bombcamera = 1
m3l1a	cyb	bombsite	( 2679 5833 -575 ) -90 axis
m3l1a	cyb	bombsite	( 405 -1077 -508 ) -90 allies
m3l1a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -1154 3288 -246 ) 79
m3l1a	snd	set	round_starttime = 8
m3l1a	snd	set	rounds_towin = 6
m3l1a	snd	set	changesides = 1
m3l1a	snd	set	bombcamera = 1
m3l1a	snd	bombsite	( 2679 5833 -575 ) -90
m3l1a	snd	bombsite	( -1499 4883 -208 ) 180
m3l1a	snd	bombsite	( 1592 2930 -368 ) -90
m3l1a	snd	bombsite	( -2921 -546 -477 ) 90
m3l1a	snd	bomb	( 457 -312 -474 ) -90 ( 1927 4546 -503 ) 46 ( 0 0 0 ) 0
m3l1a	snd	bombsite	( 2679 5833 -575 ) -90
m3l1a	snd	bombsite	( -1499 4883 -208 ) 180
m3l1a	snd	bombsite	( 1592 2930 -368 ) -90
m3l1a	snd	bombsite	( -2921 -546 -477 ) 90
# map	m3l1b	modes	cyb snd
m3l1b	cyb	set	round_starttime = 8
m3l1b	cyb	set	rounds_towin = 6
m3l1b	cyb	set	changesides = 0
m3l1b	cyb	set	keepsamesides = 1
m3l1b	cyb	set	bombcamera = 1
m3l1b	cyb	bombsite	( 611 494 320 ) 180 axis
m3l1b	cyb	bombsite	( 272 -6855 -483 ) 90 allies
m3l1b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 599 -3123 -336 ) -90
m3l1b	snd	set	round_starttime = 8
m3l1b	snd	set	rounds_towin = 6
m3l1b	snd	set	changesides = 0
m3l1b	snd	set	bombcamera = 1
m3l1b	snd	bombsite	( 611 494 320 ) 180
m3l1b	snd	bombsite	( 1709 -1876 256 ) -90
m3l1b	snd	bombsite	( 272 -6855 -483 ) 90
m3l1b	snd	bombsite	( 1572 -1357 -79 ) -90
m3l1b	snd	bomb	( 1918 -1355 -79 ) 0 ( 2070 -1103 324 ) 0 ( 0 0 0 ) 0
m3l1b	snd	bombsite	( 611 494 320 ) 180
m3l1b	snd	bombsite	( 1709 -1876 256 ) -90
m3l1b	snd	bombsite	( 272 -6855 -483 ) 90
m3l1b	snd	bombsite	( 1572 -1357 -79 ) -90
# map	m3l2	modes	cyb snd
m3l2	cyb	set	round_starttime = 8
m3l2	cyb	set	rounds_towin = 6
m3l2	cyb	set	changesides = 0
m3l2	cyb	set	keepsamesides = 1
m3l2	cyb	set	bombcamera = 1
m3l2	cyb	bombsite	( 4075 -3770 -197 ) 0 axis
m3l2	cyb	bombsite	( -2915 2879 176 ) 180 allies
m3l2	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -3609 -2716 56 ) 90
m3l2	snd	set	round_starttime = 8
m3l2	snd	set	rounds_towin = 6
m3l2	snd	set	changesides = 0
m3l2	snd	set	bombcamera = 1
m3l2	snd	bombsite	( 4075 -3770 -197 ) 0
m3l2	snd	bombsite	( -159 -6272 -18 ) 0
m3l2	snd	bombsite	( -2915 2879 176 ) 180
m3l2	snd	bombsite	( -5324 -6026 -31 ) 90
m3l2	snd	bomb	( -4102 2862 0 ) 90 ( 3550 -3498 -195 ) 180 ( 0 0 0 ) 0
m3l2	snd	bombsite	( 4075 -3770 -197 ) 0
m3l2	snd	bombsite	( -159 -6272 -18 ) 0
m3l2	snd	bombsite	( -2915 2879 176 ) 180
m3l2	snd	bombsite	( -5324 -6026 -31 ) 90
# map	m3l3	modes	cyb snd
m3l3	cyb	set	round_starttime = 8
m3l3	cyb	set	rounds_towin = 6
m3l3	cyb	set	changesides = 0
m3l3	cyb	set	keepsamesides = 1
m3l3	cyb	set	bombcamera = 1
m3l3	cyb	bombsite	( -6669 -6666 -135 ) 45 axis
m3l3	cyb	bombsite	( -6938 2947 -19 ) 0 allies
m3l3	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 4015 2088 -221 ) 0
m3l3	snd	set	round_starttime = 8
m3l3	snd	set	rounds_towin = 6
m3l3	snd	set	changesides = 0
m3l3	snd	set	bombcamera = 1
m3l3	snd	bombsite	( 1355 -1998 -271 ) -90
m3l3	snd	bombsite	( -2401 -6002 -166 ) 90
m3l3	snd	bombsite	( -3372 4124 -93 ) 90
m3l3	snd	bombsite	( 1508 3028 -230 ) 0
m3l3	snd	bomb	( 1110 5123 -211 ) 225 ( 1970 -1617 -319 ) -90 ( 0 0 0 ) 0
m3l3	snd	bombsite	( 1355 -1998 -271 ) -90
m3l3	snd	bombsite	( -2401 -6002 -166 ) 90
m3l3	snd	bombsite	( -3372 4124 -93 ) 90
m3l3	snd	bombsite	( 1508 3028 -230 ) 0
# map	m4l0	modes	cyb snd
m4l0	cyb	set	round_starttime = 8
m4l0	cyb	set	rounds_towin = 6
m4l0	cyb	set	changesides = 0
m4l0	cyb	set	keepsamesides = 1
m4l0	cyb	set	bombcamera = 1
m4l0	cyb	bombsite	( -991.5 7199 116 ) -90 axis
m4l0	cyb	bombsite	( -4771.5 -945 109 ) -90 allies
m4l0	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 5556 2016 744 ) 0
m4l0	snd	set	round_starttime = 8
m4l0	snd	set	rounds_towin = 6
m4l0	snd	set	changesides = 1
m4l0	snd	set	bombcamera = 1
m4l0	snd	bombsite	( 5605 2016 692 ) 0
m4l0	snd	bombsite	( -991.5 7199 116 ) -90
m4l0	snd	bombsite	( 5605 2016 692 ) 0
m4l0	snd	bombsite	( -4771.5 -945 109 ) -90
m4l0	snd	bomb	( -3412 -2496 74 ) 280 ( -1216 5960 -9 ) 151 ( 0 0 0 ) 0
m4l0	snd	bombsite	( 5605 2016 692 ) 0
m4l0	snd	bombsite	( -991.5 7199 116 ) -90
m4l0	snd	bombsite	( 5605 2016 692 ) 0
m4l0	snd	bombsite	( -4771.5 -945 109 ) -90
# map	m4l1	modes	cyb snd
m4l1	cyb	set	round_starttime = 8
m4l1	cyb	set	rounds_towin = 6
m4l1	cyb	set	changesides = 0
m4l1	cyb	set	keepsamesides = 1
m4l1	cyb	set	bombcamera = 1
m4l1	cyb	bombsite	( 5664 4869 358 ) 0 axis
m4l1	cyb	bombsite	( -3975 -5526 -470 ) -42 allies
m4l1	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 4866 -2893 16 ) -166
m4l1	snd	set	round_starttime = 8
m4l1	snd	set	rounds_towin = 6
m4l1	snd	set	changesides = 0
m4l1	snd	set	bombcamera = 1
m4l1	snd	bombsite	( 5664 4869 358 ) 0
m4l1	snd	bombsite	( 3392 2728 527 ) 126
m4l1	snd	bombsite	( -3975 -5526 -470 ) -42
m4l1	snd	bombsite	( -1995 -3481 -164 ) 54
m4l1	snd	bomb	( -273 -4161 -165 ) 90 ( 3813 4037 560 ) 45 ( 0 0 0 ) 0
m4l1	snd	bombsite	( 5664 4869 358 ) 0
m4l1	snd	bombsite	( 3392 2728 527 ) 126
m4l1	snd	bombsite	( -3975 -5526 -470 ) -42
m4l1	snd	bombsite	( -1995 -3481 -164 ) 54
# map	m4l2	modes	cyb snd
m4l2	cyb	set	round_starttime = 8
m4l2	cyb	set	rounds_towin = 6
m4l2	cyb	set	changesides = 0
m4l2	cyb	set	keepsamesides = 1
m4l2	cyb	set	bombcamera = 1
m4l2	cyb	bombsite	( -6668 4998 328 ) 11 axis
m4l2	cyb	bombsite	( 5944 -556 358 ) 90 allies
m4l2	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -6195 -1811 0 ) 42
m4l2	snd	set	round_starttime = 8
m4l2	snd	set	rounds_towin = 6
m4l2	snd	set	changesides = 0
m4l2	snd	set	bombcamera = 1
m4l2	snd	bombsite	( -6668 4998 328 ) 11
m4l2	snd	bombsite	( -3234 4560 -95 ) 0
m4l2	snd	bombsite	( 5944 -556 358 ) 90
m4l2	snd	bombsite	( 4560 3489 278 ) -10
m4l2	snd	bomb	( 4392 2693 311 ) 90 ( -5311 3841 0 ) 90 ( 0 0 0 ) 0
m4l2	snd	bombsite	( -6668 4998 328 ) 11
m4l2	snd	bombsite	( -3234 4560 -95 ) 0
m4l2	snd	bombsite	( 5944 -556 358 ) 90
m4l2	snd	bombsite	( 4560 3489 278 ) -10
# map	m4l3	modes	cyb snd
m4l3	cyb	set	round_starttime = 8
m4l3	cyb	set	rounds_towin = 6
m4l3	cyb	set	changesides = 0
m4l3	cyb	set	keepsamesides = 1
m4l3	cyb	set	bombcamera = 1
m4l3	cyb	bombsite	( 4045 5949 6 ) -167 axis
m4l3	cyb	bombsite	( -5594 -7018 -59 ) 0 allies
m4l3	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -1872 -294 232 ) 90
m4l3	snd	set	round_starttime = 8
m4l3	snd	set	rounds_towin = 6
m4l3	snd	set	changesides = 0
m4l3	snd	set	bombcamera = 1
m4l3	snd	bombsite	( 4045 5949 6 ) -167
m4l3	snd	bombsite	( -339 -493 0 ) -90
m4l3	snd	bombsite	( -5594 -7018 -59 ) 0
m4l3	snd	bombsite	( -4485 540 0 ) 160
m4l3	snd	bomb	( -5582 -6670 -103 ) 180 ( 2441 688 -8 ) 90 ( 0 0 0 ) 0
m4l3	snd	bombsite	( 4045 5949 6 ) -167
m4l3	snd	bombsite	( -339 -493 0 ) -90
m4l3	snd	bombsite	( -5594 -7018 -59 ) 0
m4l3	snd	bombsite	( -4485 540 0 ) 160
# map	m5l1a	modes	cyb snd
m5l1a	cyb	set	round_starttime = 8
m5l1a	cyb	set	rounds_towin = 6
m5l1a	cyb	set	changesides = 0
m5l1a	cyb	set	keepsamesides = 1
m5l1a	cyb	set	bombcamera = 1
m5l1a	cyb	bombsite	( -2459 360 137 ) -90 axis
m5l1a	cyb	bombsite	( 4739 -5332 -10 ) 90 allies
m5l1a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 1333 -2857 -45 ) 135
m5l1a	snd	set	round_starttime = 8
m5l1a	snd	set	rounds_towin = 6
m5l1a	snd	set	changesides = 0
m5l1a	snd	set	bombcamera = 1
m5l1a	snd	bombsite	( -2459 360 137 ) -90
m5l1a	snd	bombsite	( -16 -1684 168 ) 90
m5l1a	snd	bombsite	( 4739 -5332 -10 ) 90
m5l1a	snd	bombsite	( 1644 -3136 128 ) 0
m5l1a	snd	bomb	( 3764 -4488 25 ) 180 ( -407 -1519 104 ) -90 ( 0 0 0 ) 0
m5l1a	snd	bombsite	( -2459 360 137 ) -90
m5l1a	snd	bombsite	( -16 -1684 168 ) 90
m5l1a	snd	bombsite	( 4739 -5332 -10 ) 90
m5l1a	snd	bombsite	( 1644 -3136 128 ) 0
# map	m5l1b	modes	cyb snd
m5l1b	cyb	set	round_starttime = 8
m5l1b	cyb	set	rounds_towin = 6
m5l1b	cyb	set	changesides = 0
m5l1b	cyb	set	keepsamesides = 1
m5l1b	cyb	set	bombcamera = 1
m5l1b	cyb	bombsite	( 3907 747 464 ) 180 axis
m5l1b	cyb	bombsite	( -16 -6035 168 ) 90 allies
m5l1b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -1130 -1002 461 ) 26
m5l1b	snd	set	round_starttime = 8
m5l1b	snd	set	rounds_towin = 6
m5l1b	snd	set	changesides = 1
m5l1b	snd	set	bombcamera = 1
m5l1b	snd	bombsite	( 3907 747 464 ) 180
m5l1b	snd	bombsite	( 1014 724 624 ) -90
m5l1b	snd	bombsite	( -16 -6035 168 ) 90
m5l1b	snd	bombsite	( -2683 -2631 568 ) 180
m5l1b	snd	bomb	( -409 -5884 104 ) 180 ( 3700 772 528 ) -90 ( 0 0 0 ) 0
m5l1b	snd	bombsite	( 3907 747 464 ) 180
m5l1b	snd	bombsite	( 1014 724 624 ) -90
m5l1b	snd	bombsite	( -16 -6035 168 ) 90
m5l1b	snd	bombsite	( -2683 -2631 568 ) 180
# map	m5l2a	modes	cyb snd
m5l2a	cyb	set	round_starttime = 8
m5l2a	cyb	set	rounds_towin = 6
m5l2a	cyb	set	changesides = 0
m5l2a	cyb	set	keepsamesides = 1
m5l2a	cyb	set	bombcamera = 1
m5l2a	cyb	bombsite	( -5715 2744 235 ) 0 axis
m5l2a	cyb	bombsite	( 4179 -988 220 ) 180 allies
m5l2a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 5819 3912 320 ) -149
m5l2a	snd	set	round_starttime = 8
m5l2a	snd	set	rounds_towin = 6
m5l2a	snd	set	changesides = 0
m5l2a	snd	set	bombcamera = 1
m5l2a	snd	bombsite	( -5715 2744 235 ) 0
m5l2a	snd	bombsite	( -5384 5634 281 ) 41
m5l2a	snd	bombsite	( 4179 -988 220 ) 180
m5l2a	snd	bombsite	( 3667 -2888 199 ) 187
m5l2a	snd	bomb	( 2539 -826 255 ) 90 ( 382 1879 259 ) 180 ( 0 0 0 ) 0
m5l2a	snd	bombsite	( -5715 2744 235 ) 0
m5l2a	snd	bombsite	( -5384 5634 281 ) 41
m5l2a	snd	bombsite	( 4179 -988 220 ) 180
m5l2a	snd	bombsite	( 3667 -2888 199 ) 187
# map	m5l2b	modes	cyb snd
m5l2b	cyb	set	round_starttime = 8
m5l2b	cyb	set	rounds_towin = 6
m5l2b	cyb	set	changesides = 0
m5l2b	cyb	set	keepsamesides = 1
m5l2b	cyb	set	bombcamera = 1
m5l2b	cyb	bombsite	( -6932 459 160 ) -150 axis
m5l2b	cyb	bombsite	( 3387 -7280 103 ) 166 allies
m5l2b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 160 -135 -155 ) 0
m5l2b	snd	set	round_starttime = 8
m5l2b	snd	set	rounds_towin = 6
m5l2b	snd	set	changesides = 1
m5l2b	snd	set	bombcamera = 1
m5l2b	snd	bombsite	( -6932 459 160 ) -150
m5l2b	snd	bombsite	( -3228 1238 -33 ) 180
m5l2b	snd	bombsite	( 3387 -7280 103 ) 166
m5l2b	snd	bombsite	( 2732 -1021 -15 ) -90
m5l2b	snd	bomb	( 2816 -4480 -87 ) 90 ( -4400 112 -51 ) -45 ( 0 0 0 ) 0
m5l2b	snd	bombsite	( -6932 459 160 ) -150
m5l2b	snd	bombsite	( -3228 1238 -33 ) 180
m5l2b	snd	bombsite	( 3387 -7280 103 ) 166
m5l2b	snd	bombsite	( 2732 -1021 -15 ) -90
# map	m5l3	modes	cyb snd
m5l3	cyb	set	round_starttime = 8
m5l3	cyb	set	rounds_towin = 6
m5l3	cyb	set	changesides = 0
m5l3	cyb	set	keepsamesides = 1
m5l3	cyb	set	bombcamera = 1
m5l3	cyb	bombsite	( -6707 -4388 36 ) 90 axis
m5l3	cyb	bombsite	( 883 5899 384 ) 0 allies
m5l3	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -400 768 456 ) 0
m5l3	snd	set	round_starttime = 8
m5l3	snd	set	rounds_towin = 6
m5l3	snd	set	changesides = 0
m5l3	snd	set	bombcamera = 1
