# Armory weapon table - the source of truth for ui/loadout/. One row = one weapon in
# the picker. Regenerate the pages with: python docs/tools/gen_loadout.py build
#
# id       two-digit page id, also the tile number in ui/coop_loadout.urc
# tik      weapon model handed to the preview and to the slot
# xfm      preview transform, HAND-DIALLED per gun (x y z scale pitch yaw roll)
# charanim coop_hold_* pose used by the preview
# name     grid + slot label, upper case
# cd       caliber / action / capacity line
# b0..b3   the four stat bars, as the coop_bfN texture number
# clip     clip_<n> texture; clipn the printed round count
# recoil   rec_<id> recoil curve texture
# slots    which inventory slots accept it: 1,2 primary  3 pistol  4 heavy
# req1/2   hover unlock text, split over two lines. Empty = unlocked from the start.
id	tik	xfm	charanim	cls	name	cd	b0	b1	b2	b3	clip	clipn	recoil	slots	req1	req2
57	models/weapons/lugerp08.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		LUGER P08	9MM / SEMI-AUTO	3	3	7	9	8	8	lugerp08	3	UNLOCK: Rank: Technician	4th
58	models/weapons/lugerp08silenced.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		LUGER P08 SILENCED	9MM / SUPPRESSED	3	3	7	9	8	8	lugerp08silenced	3	UNLOCK: 50 kills w/ Luger	P08
59	models/weapons/ppk.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		WALTHER PPK	7.65MM / SEMI-AUTO	3	3	6	9	8	8	ppk	3	UNLOCK: Rank: Second	Lieutenant
60	models/weapons/tt33.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		TOKAREV TT-33	7.62MM / SEMI-AUTO	3	3	8	9	8	8	tt33	3	UNLOCK: Rank: First	Lieutenant
61	models/weapons/tt33silenced.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		TT-33 SILENCED	7.62MM / SUPPRESSED	3	3	8	9	8	8	tt33silenced	3	UNLOCK: 50 kills w/ TT-33	
62	models/weapons/nambu.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		NAMBU TYPE 14	8MM / SEMI-AUTO	3	3	7	9	8	8	nambu	3	UNLOCK: Rank: Staff	Sergeant
63	models/weapons/welrod.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		WELROD MK II	9MM / INTEGRALLY SUPPRE..	4	1	7	9	6	6	welrod	3	UNLOCK: Cold Steel line	(20 melee)
64	models/weapons/m2frag_grenade.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		M2 FRAG	US FRAGMENTATION GRENADE	9	2	5	10	0		m2frag	4		
65	models/weapons/steilhandgranate.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		STIELHANDGRANATE	GERMAN STICK GRENADE	9	2	6	10	0		steilhandgranate	4	UNLOCK: Rank: Corporal	
66	models/weapons/mills_grenade.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		MILLS BOMB	BRITISH FRAGMENTATION	9	2	5	10	0		mills	4	UNLOCK: Rank: Corporal	
67	models/weapons/it_w_bomba.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		BREDA MOD.35	ITALIAN FRAGMENTATION	8	3	5	10	0		bomba	4	UNLOCK: Rank: Captain	
68	models/weapons/m18_smoke_grenade.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		M18 SMOKE	SMOKE SCREEN GRENADE	0	2	5	10	0		m18smoke	4	UNLOCK: Rank: Sergeant	
69	models/weapons/nebelhandgranate.tik	0 0 0 2.00 0 90 180	coop_hold_pistol		NEBELHANDGRANATE	GERMAN SMOKE GRENADE	0	2	5	10	0		nebel	4	UNLOCK: Rank: First	Sergeant
70	models/weapons/johnson_m1941.tik	0 0 0 1.00 0 90 180	coop_hold_rifle	rifle	JOHNSON M1941	.30-06 / SEMI-AUTO / 10 RD	5	4	8	10	10	10	m1_garand	12	UNLOCK: 120 long-range	kills
71	models/weapons/thompson_gold.tik	0 0 0 1.00 0 90 180	coop_hold_smg	smg	THOMPSON (GOLD)	.45 ACP / FULL-AUTO	2	9	8	8	30	30	thompsonsmg	12	UNLOCK: 250 Thompson	kills
72	models/weapons/dp28.tik	0 0 0 1.00 0 90 180	coop_hold_rifle	heavy	DP-28	7.62x54R / FULL-AUTO / 47 RD	3	7	8	6	50	47	bar	12	UNLOCK: 200 reinforcement	kills
73	models/weapons/panzerfaust.tik	0 0 0 1.00 0 90 180	coop_hold_rifle	heavy	PANZERFAUST	ROCKET / ANTI-TANK / 1 RD	10	1	6	3	1	1	panzerschreck	12	UNLOCK: destroy 40	vehicles
74	models/weapons/mauser_c96.tik	0 0 0 1.60 0 90 180	coop_hold_pistol		MAUSER C96	7.63MM / SEMI-AUTO / 10 RD	3	5	9	9	10	10	p38	3	UNLOCK: 150 headshots	
