# Countdown radio spawn origins, harvested from the countdown mod's per-map scripts (countdown/<map>.scr).
# Consumed by docs/tools/gen_countdown_maps.py. Do NOT hand-edit; re-harvest from source.
# Format: <mapname>	<origin vector>   (one row per candidate radio spawn; the mode picks one at random)
mohdm2	( -1051.94 1.62 40.13 )
mohdm2	( -2051.03 -781.71 16.13 )
mohdm2	( -2488.87 -415.13 16.13 )
mohdm2	( -1984.13 -1686.27 16.13 )
mohdm2	( -2119.48 -1000.62 240.13 )
mohdm2	( -1247.13 -1965.30 8.13 )
mohdm2	( -3560.88 -616.87 8.12 )
mohdm2	( -3367.08 -71.13 220.13 )
mohdm2	( -3341.59 -255.38 476.13 )
mohdm2	( -2813.03 -551.00 199.01 )
mohdm2	( -2269.70 -846.65 240.13 )
mohdm2	( -2128.51 -1335.31 480.13 )
mohdm2	( -1988.20 -499.34 240.13 )
mohdm2	( -104.86 -1678.01 94.00 )
mohdm2	( -1553.36 -2802.43 -53.00 )
mohdm2	( -2275.13 1840.87 216.13 )
mohdm2	( -1569 -525 -27)
mohdm3	( 1256.00 352.00 -63.88 )
mohdm3	( 1155.33 -1475.50 -60.33 )
mohdm3	( 1712.87 -1927.13 -13.02 )
mohdm3	( 1057.82 -2564.45 8.13 )
mohdm3	( 1696.59 -3251.16 -0.55 )
mohdm3	( 3793.71 -2805.54 24.13 )
mohdm3	( 3820.07 -3439.51 8.13 )
mohdm3	( 3831.93 -2123.95 8.13 )
mohdm3	( 2319.13 -2292.87 8.12 )
mohdm3	( 2213.34 -1697.53 -0.33 )
mohdm3	( 2234.88 -1173.95 72.13 )
mohdm3	( 2384.19 -375.13 -63.88 )
mohdm3	( 2860.83 -593.73 -87.88 )
mohdm3	( 3152.05 -2591.17 0.12 )
mohdm3	( 2484.42 -2641.53 8.13 )
mohdm3	( 4925.90 -3175.54 278.13 )
mohdm3	( 4951.20 -3538.83 278.13 )
mohdm3	( 4522.25 -3562.75 248.13 )
mohdm3	( 2627.09 -2360.99 208.13 )
mohdm3	( 2479.16 -2680.88 208.13 )
mohdm3	( 2752.70 -2578.92 208.13 )
mohdm3	( 2781.75 -2191.13 208.13 )
mohdm3	( 1930.50 -1802.93 144.13 )
mohdm3	( 3572.32 -1602.70 264.13 )
mohdm3	( 1981 -1594 288 )
mohdm4	( 1284.00 -804.00 192.13 )
mohdm4	( 97.62 -596.27 32.13 )
mohdm4	( -79.38 -49.08 16.13 )
mohdm4	( -43.70 511.35 32.12 )
mohdm4	( -1311.13 887.80 248.13 )
mohdm4	( -1247.44 1093.87 432.13 )
mohdm4	( -1212.83 1023.13 608.13 )
mohdm4	( -432.07 1368.52 728.13 )
mohdm4	( 405.25 1727.52 240.13 )
mohdm4	( 1103.15 1449.85 240.13 )
mohdm4	( -11.42 1329.40 240.13 )
mohdm4	( 668.53 2730.60 264.13 )
mohdm4	( 527.13 2559.13 264.13 )
mohdm4	( 783.30 3302.20 240.13 )
mohdm4	( 1549.09 2850.55 240.13 )
mohdm4	( 16.43 2677.56 16.13 )
mohdm4	( 715.07 4660.59 240.13 )
mohdm4	( -732.90 2182.16 248.13 )
mohdm4	( -1390.83 1310.57 248.13 )
mohdm4	( 337 1154 264 )
mohdm5	( 2154 -4800 166 )
mohdm6	( 120 96 9 )
mohdm6	( -21.25 841.47 -151.88 )
mohdm6	( -764.02 -176.02 -130.84 )
mohdm6	( -673.24 781.73 -151.81 )
mohdm6	( 126.01 82.34 -150.70 )
mohdm6	( 676.66 -637.14 -143.88 )
mohdm6	( -120.85 -584.36 -151.88 )
mohdm6	( -264.88 -467.25 32.13 )
mohdm6	( -149.65 -671.14 272.13 )
mohdm6	( -908.87 -695.13 272.13 )
mohdm6	( -973.44 -426.81 256.13 )
mohdm6	( -832.97 308.96 48.13 )
mohdm6	( -1196.87 496.87 48.13 )
mohdm6	( -163.02 453.40 48.13 )
mohdm6	( 368.57 315.31 160.13 )
mohdm6	( 306.05 -39.19 364.88 )
mohdm6	( 239.13 -299.30 224.12 )
mohdm6	( 696.63 124.46 224.12 )
mohdm6	( 919.13 -304.87 224.13 )
mohdm6	( -366.58 77.06 326.63 )
mohdm7	( -567.01 166.63 -111.88 )
mohdm7	( -779.10 -412.86 -111.88 )
mohdm7	( -1476.66 -160.87 -115.88 )
mohdm7	( -1418.19 564.63 -127.88 )
mohdm7	( -1105.41 504.32 -105.88 )
mohdm7	( -1880.87 319.13 -119.88 )
mohdm7	( -1525.81 1034.49 -103.88 )
mohdm7	( -711.68 1944.20 -110.03 )
mohdm7	( -1034.31 -1205.41 -283.88 )
mohdm7	( -1304.46 -459.69 -163.88 )
mohdm7	( -2504.87 2045.37 0.12 )
mohdm7	( -2557.94 1055.19 0.12 )
mohdm7	( -3272.87 674.81 -107.88 )
mohdm7	( -2799.13 1355.13 0.13 )
mohdm7	( -1551.13 2215.18 184.13 )
mohdm7	( -272.11 1104.09 -135.79 )
mohdm7	( -240.85 50.98 40.13 )
mohdm7	( -1499.13 -1043.11 -283.88 )
mohdm7	( -1634.01 -511.13 -151.88 )
mohdm7	( -1414 162 -127 )
mp_ardennes_tow	( -3387.30 1738.30 -27.95 )
mp_ardennes_tow	( -2405.67 -2681.34 31.85 )
mp_ardennes_tow	( -2680.54 -3721.42 21.59 )
mp_ardennes_tow	( -746.59 -2317.11 5.81 )
mp_ardennes_tow	( 1805.79 -1002.85 68.47 )
mp_ardennes_tow	( 3464.87 12.66 -19.88 )
mp_ardennes_tow	( 1505.73 504.79 248.13 )
mp_ardennes_tow	( 1620.95 671.13 248.13 )
mp_ardennes_tow	( 441.95 893.73 -11.87 )
mp_ardennes_tow	( -819.80 1037.98 -95.88 )
mp_ardennes_tow	( 1020.87 388.87 148.13 )
mp_bahnhof_dm	( -647.48 3708.94 -447.88 )
mp_bahnhof_dm	( -1002.84 3773.44 -367.88 )
mp_bahnhof_dm	( -1257.80 3593.07 -447.88 )
mp_bahnhof_dm	( -1607.65 2718.48 -431.88 )
mp_bahnhof_dm	( -2560.47 3438.48 -607.88 )
mp_bahnhof_dm	( -2648.32 2651.79 -143.88 )
mp_bahnhof_dm	( -2934.49 2695.65 -110.98 )
mp_bahnhof_dm	( -2766.86 2227.58 -143.88 )
mp_bahnhof_dm	( -2801.95 1720.45 -344.31 )
mp_bahnhof_dm	( -3237.20 2345.24 -130.88 )
mp_bahnhof_dm	( -3414.59 1576.79 -135.35 )
mp_bahnhof_dm	( -3701.27 1781.53 -119.80 )
mp_bahnhof_dm	( -4026.35 1807.13 -127.88 )
mp_bahnhof_dm	( -4292.98 1810.06 -127.88 )
mp_bahnhof_dm	( -4542.24 1807.13 -127.88 )
mp_bahnhof_dm	( -4803.47 1807.13 -127.88 )
mp_bahnhof_dm	( -4949.08 2350.94 -399.76 )
mp_bahnhof_dm	( -4328.79 3291.16 -415.88 )
mp_bahnhof_dm	( -4281.99 3763.54 -435.66 )
mp_bahnhof_dm	( -3451.45 3944.70 -455.88 )
mp_bahnhof_dm	( -3063.34 3949.78 -447.88 )
mp_bahnhof_dm	( -2371.87 4503.42 -391.88 )
mp_bahnhof_dm	( -1663.71 3916.79 -187.67 )
mp_bahnhof_dm	( -1476.06 3972.02 -225.74 )
mp_bahnhof_dm	( -1252.64 3928.96 -235.88 )
mp_bahnhof_dm	( -2103.41 5497.58 -447.88 )
mp_bahnhof_dm	( -2615.39 4058.45 -227.50 )
mp_bahnhof_dm	( -3015.87 2963.89 -159.88 )
mp_bahnhof_dm	( -3224.24 3101.08 -130.88 )
mp_bahnhof_dm	( -3390.07 3159.58 -374.64 )
mp_bahnhof_dm	( -4272.96 1595.03 -399.88 )
mp_bazaar_dm	( -633.98 -837.17 160.13 )
mp_bazaar_dm	( -139.06 343.46 -103.88 )
mp_bazaar_dm	( 528.88 159.26 -207.88 )
mp_bazaar_dm	( -174.93 -135.94 -28.86 )
mp_bazaar_dm	( -902.88 -422.45 128.13 )
mp_bazaar_dm	( -615.72 -826.41 160.13 )
mp_bazaar_dm	( -329.37 -468.03 -212.07 )
mp_bazaar_dm	( -588.58 -191.84 -255.88 )
mp_bazaar_dm	( -1136.60 -368.87 -255.88 )
mp_bazaar_dm	( -534.04 770.54 -31.88 )
mp_bazaar_dm	( 353.99 1895.34 256.13 )
mp_bazaar_dm	( 559.13 1093.92 224.13 )
mp_bazaar_dm	( 1152.07 1036.87 96.13 )
mp_bazaar_dm	( 805.18 631.20 -253.59 )
mp_bazaar_dm	( 584.51 966.16 -47.88 )
mp_bazaar_dm	( 170.27 -1330.07 -207.88 )
mp_berlin_tow	( -2124.15 1511.28 16.12 )
mp_berlin_tow	( -2125.45 1289.32 75.13 )
mp_berlin_tow	( -2110.56 621.11 24.13 )
mp_berlin_tow	( -1725.14 682.44 256.13 )
mp_berlin_tow	( -2037.04 939.26 256.13 )
mp_berlin_tow	( -1781.19 1105.91 256.13 )
mp_berlin_tow	( -3532.95 1641.77 -7.87 )
mp_berlin_tow	( -3842.91 1927.67 16.13 )
mp_berlin_tow	( -5045.78 3132.44 16.13 )
mp_berlin_tow	( -4527.05 4897.88 200.13 )
mp_berlin_tow	( -4538.69 4421.68 168.13 )
mp_berlin_tow	( -4648.41 4201.59 43.69 )
mp_berlin_tow	( -5829.99 3858.77 16.13 )
mp_berlin_tow	( -5900.77 4020.15 192.13 )
mp_berlin_tow	( -5558.61 4587.79 59.13 )
mp_berlin_tow	( -3533.33 3063.62 0.12 )
mp_berlin_tow	( -3691.69 3539.50 0.12 )
mp_berlin_tow	( -3244.69 3976.76 0.12 )
mp_berlin_tow	( -2740.53 4260.88 0.12 )
mp_berlin_tow	( -2176.22 4389.16 0.12 )
mp_berlin_tow	( -1863.64 4721.43 0.12 )
mp_berlin_tow	( -1053.01 4839.60 32.13 )
mp_berlin_tow	( -590.35 5834.36 24.13 )
mp_berlin_tow	( 511.41 5249.55 72.13 )
mp_berlin_tow	( 150.43 5441.46 72.13 )
mp_berlin_tow	( 533.11 5644.77 128.13 )
mp_berlin_tow	( 949.95 5470.06 72.13 )
mp_berlin_tow	( 2704.61 4938.86 24.13 )
mp_berlin_tow	( 2859.77 3641.51 178.13 )
mp_berlin_tow	( 2765.33 3191.60 124.13 )
mp_berlin_tow	( 2438.62 2565.46 16.13 )
mp_berlin_tow	( 1210.28 2440.38 16.13 )
mp_berlin_tow	( 492.42 3702.80 16.13 )
mp_berlin_tow	( 2512.52 1233.40 -167.88 )
mp_berlin_tow	( 3830.75 2689.95 -167.88 )
mp_berlin_tow	( 4817.64 1769.37 -231.88 )
mp_berlin_tow	( 5720.36 1004.21 32.13 )
mp_berlin_tow	( 5713.87 1986.05 272.13 )
mp_berlin_tow	( 6125.44 2101.65 24.13 )
mp_berlin_tow	( 5340.25 3762.02 24.13 )
mp_berlin_tow	( 3734.03 2629.78 80.13 )
mp_berlin_tow	( -246.83 3437.95 36.13 )
mp_berlin_tow	( -823.10 2995.00 264.13 )
mp_berlin_tow	( -996.13 3230.38 264.13 )
mp_berlin_tow	( -953.44 2496.30 264.13 )
mp_berlin_tow	( -1479.94 2195.47 264.13 )
mp_berlin_tow	( -1892.18 2274.83 128.13 )
mp_brest_dm	( -156.29 1392.48 217.00 )
mp_brest_dm	( -787.45 -77.88 270.27 )
mp_brest_dm	( 471.17 899.12 448.13 )
mp_brest_dm	( 858.63 662.92 271.13 )
mp_brest_dm	( 696.22 -283.99 280.13 )
mp_brest_dm	( -106.79 -1350.81 400.13 )
mp_brest_dm	( -1083.53 -2087.91 408.13 )
mp_brest_dm	( -1383.47 -1857.31 568.13 )
mp_brest_dm	( -2629.40 -1067.12 392.13 )
mp_brest_dm	( -2583.62 -277.51 377.19 )
mp_brest_dm	( -839.12 682.80 512.13 )
mp_brest_dm	( -906.81 1644.02 408.13 )
mp_brest_dm	( 400.34 1801.12 252.13 )
mp_brest_dm	( 690.10 952.80 258.98 )
mp_brest_dm	( 1245.05 -1062.06 280.13 )
mp_brest_dm	( 813.41 -615.33 280.13 )
mp_brest_dm	( 865.99 -334.81 280.13 )
mp_brest_dm	( -101.90 1132.04 293.26 )
mp_brest_dm	( -687.57 1358.68 512.13 )
mp_brest_dm	( -550.44 -40.75 383.13 )
mp_druckkammern_tow	( -1309.92 -1805.13 -639.86 )
mp_druckkammern_tow	( -162.05 -3065.73 -511.88 )
mp_druckkammern_tow	( 533.00 -2896.66 -511.88 )
mp_druckkammern_tow	( 1093.23 -3818.04 -511.88 )
mp_druckkammern_tow	( 1342.38 -4789.89 -303.88 )
mp_druckkammern_tow	( 2466.75 -4035.57 -236.73 )
mp_druckkammern_tow	( 2746.80 -4036.51 -229.15 )
mp_druckkammern_tow	( 3477.37 -4313.01 -271.88 )
mp_druckkammern_tow	( 2897.08 -2852.06 -235.77 )
mp_druckkammern_tow	( 2692.92 -2840.07 -226.86 )
mp_druckkammern_tow	( 2061.92 -2581.42 -255.88 )
mp_druckkammern_tow	( 3163.48 -2482.15 -511.88 )
mp_druckkammern_tow	( 2650.19 -3314.23 -624.88 )
mp_druckkammern_tow	( 2535.87 -3912.73 -624.88 )
mp_druckkammern_tow	( 2691.49 -4227.40 -624.88 )
mp_druckkammern_tow	( 2659.20 -3554.03 -445.88 )
mp_druckkammern_tow	( 2649.15 -3807.61 -444.88 )
mp_druckkammern_tow	( 2677.21 -4019.96 -544.88 )
mp_druckkammern_tow	( 3526.79 -4142.62 -567.88 )
mp_druckkammern_tow	( 3858.80 -1049.71 -515.88 )
mp_druckkammern_tow	( 5077.92 -2985.30 -479.88 )
mp_druckkammern_tow	( 5290.75 -2620.94 -255.88 )
mp_druckkammern_tow	( 5365.17 -3278.22 -255.88 )
mp_druckkammern_tow	( 5294.56 -3793.61 -405.88 )
mp_druckkammern_tow	( 4148.00 -3725.14 -639.88 )
mp_druckkammern_tow	( 3621.02 -4161.52 -567.88 )
mp_druckkammern_tow	( 2438.08 -1015.13 -255.88 )
mp_druckkammern_tow	( 3955.58 -992.96 -255.88 )
mp_druckkammern_tow	( 5155.69 -493.13 -159.88 )
mp_druckkammern_tow	( 5648.60 975.91 -161.88 )
mp_druckkammern_tow	( 3301.02 -1651.80 -511.88 )
mp_druckkammern_tow	( 3606.50 -2017.64 -271.88 )
mp_flughafen_tow	( 1996.26 3317.25 -23.85 )
mp_flughafen_tow	( 1203.76 3473.46 -416.88 )
mp_flughafen_tow	( 44.26 2933.53 -416.88 )
mp_flughafen_tow	( -7.24 2243.11 -416.88 )
mp_flughafen_tow	( -517.30 1596.27 -415.88 )
mp_flughafen_tow	( -1568.00 793.12 -382.28 )
mp_flughafen_tow	( -1797.48 867.02 -23.88 )
mp_flughafen_tow	( -3745.09 883.53 -23.88 )
mp_flughafen_tow	( -2897.97 2268.68 -23.88 )
mp_flughafen_tow	( -1943.24 2096.12 -23.88 )
mp_flughafen_tow	( -1031.17 1972.27 -23.88 )
mp_flughafen_tow	( -85.39 2028.80 -23.88 )
mp_flughafen_tow	( 1028.58 959.28 328.13 )
mp_flughafen_tow	( 1077.09 1369.13 281.46 )
mp_flughafen_tow	( 165.42 1230.37 -23.88 )
mp_flughafen_tow	( -1722.82 1365.52 -62.88 )
mp_flughafen_tow	( -1971.87 3112.87 -23.88 )
mp_flughafen_tow	( -1543.06 3376.78 35.13 )
mp_flughafen_tow	( -2706.36 3373.27 35.13 )
mp_flughafen_tow	( -3952.87 3008.87 -23.88 )
mp_flughafen_tow	( 350.89 4176.87 -15.88 )
mp_flughafen_tow	( -334.43 993.39 -23.88 )
mp_flughafen_tow	( -299.49 183.90 -23.88 )
mp_flughafen_tow	( -1369.24 -2014.41 -23.88 )
mp_flughafen_tow	( -217.79 -1210.63 -15.88 )
mp_flughafen_tow	( -398.32 -1092.68 280.13 )
mp_flughafen_tow	( -314.44 -1023.07 440.13 )
mp_flughafen_tow	( -427.99 -1260.61 440.13 )
mp_flughafen_tow	( -2323.58 -3051.03 77.62 )
mp_flughafen_tow	( 531.34 1096.87 -23.88 )
mp_flughafen_tow	( -1024.87 1080.87 -23.88 )
mp_gewitter_dm	( 2637.19 1394.39 144.13 )
mp_gewitter_dm	( 1719.94 1759.16 128.13 )
mp_gewitter_dm	( 2148.68 671.13 120.13 )
mp_gewitter_dm	( 1595.14 603.49 328.13 )
mp_gewitter_dm	( 1718.21 1316.11 372.13 )
mp_gewitter_dm	( 2159.44 1823.08 328.13 )
mp_gewitter_dm	( 2011.41 1539.10 374.62 )
mp_gewitter_dm	( 231.11 1357.13 56.13 )
mp_gewitter_dm	( -980.66 3008.52 16.13 )
mp_gewitter_dm	( -1657.95 2923.11 16.13 )
mp_gewitter_dm	( -1853.46 2914.89 224.13 )
mp_gewitter_dm	( -2528.75 2008.97 0.13 )
mp_gewitter_dm	( -2659.56 1433.29 0.14 )
mp_gewitter_dm	( -4185.70 641.15 64.13 )
mp_gewitter_dm	( -4088.21 962.14 176.13 )
mp_gewitter_dm	( -4728.87 1225.49 256.13 )
mp_gewitter_dm	( -3850.28 1485.06 256.13 )
mp_gewitter_dm	( -3670.92 817.17 264.13 )
mp_gewitter_dm	( -3940.10 461.48 256.13 )
mp_gewitter_dm	( -2624.70 1417.40 192.13 )
mp_gewitter_dm	( -1698.37 2930.17 16.13 )
mp_gewitter_dm	( -4384.74 2641.40 122.79 )
mp_gewitter_dm	( -4807.11 1232.97 168.23 )
mp_holland_dm	( 3820.52 -712.61 -143.87 )
mp_holland_dm	( 2554.17 -1079.52 127.13 )
mp_holland_dm	( 1690.85 1290.00 2.13 )
mp_holland_dm	( 254.18 1246.93 88.13 )
mp_holland_dm	( -725.34 1294.34 82.13 )
mp_holland_dm	( -1572.87 1349.46 82.13 )
mp_holland_dm	( -1893.37 1474.26 -2.02 )
mp_holland_dm	( -2178.80 696.87 28.13 )
mp_holland_dm	( -2016.03 -1804.32 36.15 )
mp_holland_dm	( -1828.96 -1797.97 -191.88 )
mp_holland_dm	( -1217.96 -1219.15 8.13 )
mp_holland_dm	( -1254.61 -1043.15 248.13 )
mp_holland_dm	( -1222.28 -2288.83 0.13 )
mp_holland_dm	( -652.84 -1123.34 -7.87 )
mp_holland_dm	( -172.58 -454.03 0.12 )
mp_malta_dm	( -657.16 -1308.56 -1279.88 )
mp_malta_dm	( 249.39 -1536.66 -1375.88 )
mp_malta_dm	( 185.98 -1839.88 -1367.88 )
mp_malta_dm	( 521.56 -2005.99 -1375.88 )
mp_malta_dm	( 930.58 -1937.07 -1407.88 )
mp_malta_dm	( 1508.09 -2046.19 -1367.98 )
mp_malta_dm	( 2471.38 -955.40 -1207.88 )
mp_malta_dm	( 1969.92 -410.89 -1279.88 )
mp_malta_dm	( 2112.49 341.85 -1421.75 )
mp_malta_dm	( 2680.87 231.01 -1471.88 )
mp_malta_dm	( 2691.62 -580.38 -1695.88 )
mp_malta_dm	( 2575.18 195.87 -1680.88 )
mp_malta_dm	( 2598.94 830.79 -1722.09 )
mp_malta_dm	( 2618.77 1501.22 -1407.88 )
mp_malta_dm	( 2445.56 2255.14 -1407.88 )
mp_malta_dm	( 2294.54 2804.52 -1279.88 )
mp_malta_dm	( 1722.67 2624.65 -1407.88 )
mp_malta_dm	( 874.65 2625.27 -1407.88 )
mp_malta_dm	( 1476.41 3035.98 -1199.88 )
mp_malta_dm	( 1686.03 2423.52 -1219.04 )
mp_malta_dm	( 1200.08 2666.33 -1199.88 )
mp_malta_dm	( 978.79 2715.27 -1199.88 )
mp_malta_dm	( 1505.50 2750.91 -1023.88 )
mp_malta_dm	( 2134.96 2516.11 -1023.88 )
mp_malta_dm	( 1561.80 3323.54 -1023.88 )
mp_malta_dm	( 2532.94 3880.31 -1055.88 )
mp_malta_dm	( -188.97 2786.10 -1023.88 )
mp_malta_dm	( 16.87 2108.36 -1215.88 )
mp_malta_dm	( -451.50 2018.24 -1398.89 )
mp_malta_dm	( -227.72 2896.87 -1343.88 )
mp_malta_dm	( 66.18 2825.93 -1407.88 )
mp_malta_dm	( 327.43 2335.15 -1407.88 )
mp_malta_dm	( -65.90 1965.68 -1407.88 )
mp_malta_dm	( -934.88 1197.10 -1399.88 )
mp_malta_dm	( -889.62 86.28 -1471.88 )
mp_malta_dm	( -884.42 -255.21 -1471.88 )
mp_malta_dm	( -1119.79 -1355.63 -1484.92 )
mp_malta_dm	( -1666.15 -1368.20 -1567.88 )
mp_malta_dm	( -1840.62 -1816.69 -1563.88 )
mp_malta_dm	( -2327.39 -2627.54 -1391.88 )
mp_malta_dm	( -1780.19 -2343.74 -1039.88 )
mp_malta_dm	( -1211.09 -1811.65 -1223.88 )
mp_malta_dm	( -1776.26 -1262.81 -1343.88 )
mp_malta_dm	( -1775.69 -957.44 -1343.81 )
mp_malta_dm	( 596.76 624.12 -999.88 )
mp_malta_dm	( 857.40 1219.53 -1407.88 )
mp_malta_dm	( 864.02 1568.42 -1407.88 )
mp_malta_dm	( 622.36 2436.18 -1407.88 )
mp_malta_dm	( 1388.76 2008.90 -1407.88 )
mp_malta_dm	( 960.72 1423.44 -1735.88 )
mp_malta_dm	( 847.93 967.99 -1735.88 )
mp_malta_dm	( -896.99 1269.12 -1735.88 )
mp_stadt_dm	( -2545.75 2701.64 56.13 )
mp_stadt_dm	( -2283.95 2218.06 56.13 )
mp_stadt_dm	( -2209.75 1723.44 0.12 )
mp_stadt_dm	( -1678.24 1172.44 57.13 )
mp_stadt_dm	( -2508.41 273.38 8.13 )
mp_stadt_dm	( -1808.24 -737.51 59.13 )
mp_stadt_dm	( -1208.86 -1344.87 64.13 )
mp_stadt_dm	( -863.63 -598.01 336.13 )
mp_stadt_dm	( -759.50 -432.48 336.13 )
mp_stadt_dm	( -1131.90 77.39 -7.88 )
mp_stadt_dm	( -742.91 5.26 -7.88 )
mp_stadt_dm	( -1072.72 1878.46 -263.88 )
mp_stadt_dm	( -326.75 2468.38 -263.88 )
mp_stadt_dm	( -2.63 1878.87 -303.88 )
mp_stadt_dm	( 125.03 1241.72 168.13 )
mp_stadt_dm	( -308.74 1522.77 280.13 )
mp_stadt_dm	( -975.42 1091.41 -251.26 )
mp_stadt_dm	( -1104.96 3.74 -263.88 )
mp_stadt_dm	( -1884.21 -1164.26 -263.88 )
mp_stadt_dm	( 144.86 -728.23 40.13 )
mp_stadt_dm	( -234.15 2051.16 67.13 )
mp_stadt_dm	( -1051.79 -1008.86 8.13 )
mp_stadt_dm	( -1113.72 2987.80 520.13 )
mp_stadt_dm	( -1088.51 2583.64 164.13 )
mp_stadt_dm	( -1420.15 2578.96 164.13 )
mp_stadt_dm	( -1164.25 1164.28 0.12 )
mp_unterseite_dm	( -1436.50 2006.28 48.13 )
mp_unterseite_dm	( -1264.19 1148.39 -127.88 )
mp_unterseite_dm	( -709.25 1100.28 224.13 )
mp_unterseite_dm	( -268.48 394.92 181.90 )
mp_unterseite_dm	( 1152.32 1091.92 219.04 )
mp_unterseite_dm	( 876.47 1428.49 208.13 )
mp_unterseite_dm	( 679.46 1110.66 -207.88 )
mp_unterseite_dm	( -376.26 1529.83 -447.88 )
mp_unterseite_dm	( 221.74 1870.10 -367.88 )
mp_unterseite_dm	( -738.20 1984.08 -31.88 )
mp_unterseite_dm	( 131.41 2446.41 259.13 )
mp_unterseite_dm	( -259.87 1379.80 232.98 )
mp_unterseite_dm	( 419.41 2327.73 154.69 )
mp_unterseite_dm	( -45.13 2589.17 200.13 )
mp_unterseite_dm	( -738.26 2673.95 40.13 )
mp_unterseite_dm	( -1171.75 1966.51 -191.88 )
mp_unterseite_dm	( -1164.96 1139.20 28.13 )
mp_unterseite_dm	( -490.85 972.25 288.13 )
mp_unterseite_dm	( -450.70 766.72 288.13 )
mp_unterseite_dm	( 403.14 555.79 35.50 )
mp_verschneit_dm	( 60.27 -2163.11 -86.88 )
mp_verschneit_dm	( -965.62 -1458.41 -127.88 )
mp_verschneit_dm	( -1482.90 -1970.08 224.13 )
mp_verschneit_dm	( -1296.44 -2073.10 304.13 )
mp_verschneit_dm	( -1809.11 -2444.56 -55.88 )
mp_verschneit_dm	( -2220.29 -2719.39 8.13 )
mp_verschneit_dm	( -2385.97 -2670.87 8.13 )
mp_verschneit_dm	( -2894.13 -2627.11 9.13 )
mp_verschneit_dm	( -3200.52 -1982.02 188.13 )
mp_verschneit_dm	( -2854.39 -2201.48 240.13 )
mp_verschneit_dm	( -3046.19 -1570.80 240.13 )
mp_verschneit_dm	( -2789.18 -1323.67 40.34 )
mp_verschneit_dm	( -2324.64 -391.23 0.12 )
mp_verschneit_dm	( -2021.61 -592.87 36.12 )
mp_verschneit_dm	( -1064.42 -1400.04 164.33 )
mp_verschneit_dm	( -966.01 -1555.57 220.99 )
mp_verschneit_dm	( -352.54 -2871.75 -287.88 )
mp_verschneit_dm	( -416.73 -3430.69 -119.88 )
mp_verschneit_dm	( -2345.05 -1855.51 8.12 )
mp_verschneit_dm	( -3169.06 -1280.69 8.12 )
obj_team1	( 2884.03 4252.13 -237.19 )
obj_team1	( 3384.87 4419.52 -223.88 )
obj_team1	( 3721.05 3719.97 -268.13 )
obj_team1	( 4418.54 4182.41 -287.90 )
