# BaseBuilder station data harvested from UBER-MODS-v8.00-MOHAA (searingwolfe/UBER-MODS-v8.00-MOHAA),
# alienx/basebuild.scr's per-map `exec ...::basebuild ( origin ) "model" ...` station placements.
# '# map <name> main <params>' rows carry the map's basebuild::main args; data rows are '<map>	<station args>'.
# Consumed by docs/tools/gen_basebuild_maps.py -> coop_mod/mp_basebuild_stations.scr. Do not hand-edit.
# map	m1l1	main	800 1000 500 1 1 0 0 0
m1l3a	( 2297.42 -6057.22 -111.88 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l3a	( 2531.90 -6035.73 -111.88 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m1l3a	( 2537.39 -5940.66 -111.88 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m1l3a	( 2538.26 -5841.92 -111.88 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
m1l3a	( 2539.03 -5738.08 -111.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3a	( 1981.41 -1658.80 160.29 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3a	( 1952.86 -1803.15 -46.90 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3a	( 1881.93 -1723.11 -46.20 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3a	( 2069.28 -1846.78 20.13 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3a	( 1727.89 -1529.68 -52.66 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3a	( 1118.55 -1679.39 4.48 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3a	( 1124.91 -1804.84 -12.41 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3a	( 1141.43 -1956.07 -25.59 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3a	( 1137.29 -2101.40 -20.16 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3a	( 1124.80 -2271.15 8.53 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3a	( 4061.92 49.78 273.54 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3a	( 4170.89 109.26 268.30 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3a	( 3927.83 -510.55 235.28 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3a	( 4264.52 166.51 273.44 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l3a	( 4351.71 245.99 288.33 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m1l3a	( 4422.63 317.19 297.62 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m1l3a	( 3954.39 -202.18 296.13 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
m1l3a	( 3941.01 -356.77 278.21 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
# map	m1l3b	main	800 1000 500 1 1 0 0 0
m1l3b	( -465 1104 -23 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3b	( -665 1104 -23 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3b	( -865 1104 -23 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3b	( -1065 1104 -23 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3b	( -1265 1104 -23 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3b	( -1465 1104 -23 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3b	( -1665 1104 -23 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3b	( -1865 1104 -23 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3b	( -2065 1104 -23 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3b	( -2265 1104 -23 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3b	( -2465 1104 -23 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l3b	( -2665 1104 -23 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m1l3b	( -2865 1104 -23 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m1l3b	( -3065 1104 -23 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
m1l3b	( -2000 5150 -23 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3b	( -2200 5150 -23 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3b	( -2400 5150 -23 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3b	( -2600 5150 -23 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3b	( -2800 5150 -23 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3b	( -3000 5150 -23 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3b	( -3200 5150 -23 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3b	( -3400 5150 -23 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3b	( -3600 5150 -23 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3b	( -3800 5150 -23 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3b	( -4000 5150 -23 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m1l3b	( -4200 5150 -23 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m1l3b	( -4400 5150 -23 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m1l3b	( -4600 5150 -23 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
# map	m1l3c	main	800 1000 500 1 1 0 0 0
m1l3c	( -4449.13 -6012.88 752.13 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -4449.13 -5912.88 752.13 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3c	( -4449.13 -5812.88 752.13 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3c	( -4549.10 -6056.90 752.13 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3c	( -4649.13 -5712.88 752.13 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3c	( -4749.13 -5712.88 752.13 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3c	( -4704.14 -6074.17 752.13 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3c	( -4810.98 -6020.87 752.13 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3c	( -4970.87 -5916.81 752.13 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -4559.00 -5733.00 752.13 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3c	( -5349.99 -4016.90 -23.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -5349.99 -4116.90 -23.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3c	( -5349.99 -4216.90 -23.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3c	( -5349.99 -4316.90 -23.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3c	( -5349.99 -4516.90 -23.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3c	( -5349.99 -4616.90 -23.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3c	( -5349.99 -4816.90 -23.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3c	( -5349.99 -4916.90 -23.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3c	( -5403.99 -5216.90 -23.88 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -5349.99 -5316.90 -23.88 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m1l3c	( -1850.52 -2598.81 224.67 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -1950.52 -2598.81 214.67 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m1l3c	( -2050.52 -2598.81 204.67 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m1l3c	( -2150.52 -2598.81 189.67 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m1l3c	( -2350.52 -2675.81 174.67 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m1l3c	( -2450.52 -2675.81 156.67 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m1l3c	( -2550.52 -2675.81 156.67 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m1l3c	( -2650.52 -2675.81 154.67 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m1l3c	( -2750.52 -2675.81 154.67 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m1l3c	( -2850.52 -2675.81 145.67 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
# map	m2l1	main	800 1000 500 1 1 0 0 0
m2l1	( -1909.39 -2961.18 500.04 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( -1909.39 -2861.18 500.04 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l1	( -1909.39 -2761.18 500.04 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l1	( -1909.39 -2661.18 500.04 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l1	( -1909.39 -2561.18 500.04 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l1	( -1909.39 -2461.18 500.04 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l1	( -1909.39 -2361.18 500.04 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l1	( -1909.39 -2261.18 500.04 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l1	( -1909.39 -2161.18 500.04 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( -1909.39 -2061.18 500.04 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m2l1	( 2150.08 -1198.65 448.13 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( 2150.08 -1098.65 448.13 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l1	( 2150.08 -998.65 448.13 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l1	( 2150.08 -898.65 448.13 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l1	( 2150.08 -798.65 448.13 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l1	( 2150.08 -698.65 448.13 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l1	( 2150.08 -598.65 448.13 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l1	( 2152.27 -498.03 448.13 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l1	( 2128.10 -398.84 448.13 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( 2128.08 -298.65 448.13 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m2l1	( 2703.25 7357.83 -55.67 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( 2703.25 7257.83 -55.67 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l1	( 2703.25 7157.83 -55.67 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l1	( 2703.25 7057.83 -60.67 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l1	( 2703.25 6957.83 -60.67 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l1	( 2703.25 6857.83 -60.67 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l1	( 2801.01 6772.31 -60.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l1	( 2411.25 7264.31 -20.00 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l1	( 2311.25 7264.31 -20.00 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m2l1	( 2211.25 7264.31 -20.00 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
# map	m2l2a	main	800 1000 500 1 1 0 0 0
m2l2a	( -4416.87 -2343.13 -473.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l2a	( -4316.87 -2343.13 -473.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l2a	( -4216.87 -2343.13 -473.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l2a	( -4116.87 -2343.13 -473.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l2a	( -4416.87 -2509.21 -511.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l2a	( -4316.87 -2509.21 -511.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l2a	( -4216.87 -2509.21 -511.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l2a	( -4116.87 -2509.21 -511.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l2a	( -1743.13 -7208.88 -511.66 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l2a	( -1843.13 -7208.88 -511.66 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l2a	( -1943.13 -7208.88 -511.66 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l2a	( -2043.13 -7208.88 -511.66 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l2a	( -2143.13 -7208.88 -511.66 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l2a	( -2243.13 -7208.88 -511.66 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l2a	( -2343.13 -7208.88 -511.66 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l2a	( -1647.13 -6960.13 -511.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m2l2b	main	800 1000 500 1 1 0 0 0
m2l2b	( -2320.87 -7208.87 -511.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l2b	( -2220.87 -7208.87 -511.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l2b	( -2120.87 -7208.87 -511.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l2b	( -2020.87 -7208.87 -511.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l2b	( -1920.87 -7208.87 -511.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l2b	( -1820.87 -7208.87 -511.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l2b	( -1720.87 -7208.87 -511.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l2b	( -1647.54 -6960.87 -511.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m2l2c	main	800 1000 500 1 1 0 0 0
m2l2c	( -531.13 -7004.60 -511.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l2c	( -631.13 -7004.60 -511.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l2c	( -731.13 -7004.60 -511.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l2c	( -831.13 -7004.60 -511.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l2c	( -931.13 -7004.60 -511.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l2c	( -1031.13 -7004.60 -511.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
